ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 17.148, Drag, -68.2, 0.43, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 17.371, Drag, -47.8, 0.33, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 17.599, Drag, -33.1, 0.25, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 17.809, Drag, -22.4, 0.20, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 18.036, Drag, -20.3, 0.19, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 18.317, Drag, -18.5, 0.18, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 19.158, Drag, -18.5, 0.18, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 19.405, Drag, -19.1, 0.19, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 19.633, Drag, -23.9, 0.21, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 19.878, Drag, -48.7, 0.33, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 20.106, Drag, -73.9, 0.45, 0-1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 20.350, Drag, -81.1, 0.49, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 20.578, Drag, -90.7, 0.54, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 20.803, Drag, -105.6, 0.61, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 20.933, DragEnd, -108.3, 0.62, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 56.936, Drag, -393.6, 0.63, 2-3-4, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 57.165, Drag, -263.8, 0.43, 2-3-4, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 57.374, Drag, -232.3, 0.38, 2-3, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 57.585, Drag, -216.1, 0.36, 2-3, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 57.796, Drag, -190.3, 0.32, 2-3, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 58.007, Drag, -156.0, 0.26, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 58.216, Drag, -135.0, 0.23, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 58.427, Drag, -128.3, 0.22, 1-2, 0
nszw26001_Xn74rUowwJ,2026-01-27_20-02-34,2026-01-27_20-08-41,ItoI_noname, 58.636, Drag, -126.4, 0.22, 1-2, 0
