ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.388, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.403, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.419, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.436, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.453, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.469, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.486, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.502, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.519, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.535, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.553, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.568, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.586, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.602, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.919, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.936, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.953, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.969, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 29.985, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.002, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.018, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.036, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.053, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.069, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.086, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.102, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.119, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.136, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.153, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.169, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.186, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.203, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.219, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.236, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.252, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.269, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.286, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.303, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.318, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.336, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 30.353, Wheel, 20.0, 0.00, 0, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.670, Wheel, -207.0, 1.00, 2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.687, Wheel, -205.0, 0.99, 2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.702, Wheel, -201.2, 0.97, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.720, Wheel, -195.7, 0.95, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.737, Wheel, -188.9, 0.92, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.752, Wheel, -180.7, 0.88, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.769, Wheel, -171.3, 0.84, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.786, Wheel, -160.9, 0.79, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.803, Wheel, -149.5, 0.74, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.819, Wheel, -137.2, 0.69, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.836, Wheel, -124.2, 0.63, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.853, Wheel, -110.5, 0.57, 1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.869, Wheel, -97.4, 0.51, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.887, Wheel, -85.7, 0.46, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.902, Wheel, -75.1, 0.41, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.920, Wheel, -65.6, 0.37, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 42.937, Wheel, -57.0, 0.33, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.003, Wheel, -30.5, 0.22, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.220, Wheel, 7.1, 0.05, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.237, Wheel, 6.4, 0.05, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.253, Wheel, 3.7, 0.07, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.270, Wheel, -0.5, 0.09, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 43.287, Wheel, -6.5, 0.11, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 44.187, Wheel, -79.7, 0.43, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 44.203, Wheel, -81.7, 0.44, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 44.219, Wheel, -85.5, 0.46, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 44.236, Wheel, -91.0, 0.48, 0-1-2, 0
nszw26001_YP9VLHNJnB,2026-01-27_23-52-41,2026-01-28_00-02-33,ItoE_name, 44.252, Wheel, -97.9, 0.51, 0-1-2, 0
