ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 44.547, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 45.995, Drag, -438.2, 0.75, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 46.209, Drag, -320.7, 0.55, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 46.460, Drag, -299.0, 0.52, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 46.676, Drag, -274.3, 0.48, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 47.642, Drag, -274.3, 0.48, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 47.843, Drag, -342.5, 0.59, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 48.043, Drag, -459.9, 0.78, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 48.259, Drag, -507.8, 0.86, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 48.460, Drag, -522.3, 0.89, 2-3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 48.792, Drag, -539.6, 0.91, 3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 49.159, Drag, -546.9, 0.93, 3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 49.293, DragEnd, -552.7, 0.94, 3-4, 0
nszw26001_Ye47fhPu3p,2026-01-27_20-03-32,2026-01-27_20-11-12,ItoI_noname, 112.281, Wheel, -163.0, 1.00, 2, 1
