ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 61.833, Wheel, -118.5, 0.99, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 61.923, Wheel, -118.7, 0.99, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 63.879, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 63.924, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.005, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.125, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.366, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.383, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.401, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.443, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_Ye9JvZzMju,2026-01-27_23-39-41,2026-01-27_23-42-47,ItoE_noname, 64.554, Wheel, -119.0, 1.00, 1-2, 1
