ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 30.288, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 30.341, Wheel, -1075.5, 0.99, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 30.367, Wheel, -1069.0, 0.98, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 30.435, Wheel, -1049.3, 0.97, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.072, Wheel, -1001.0, 0.91, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.139, Wheel, -1009.1, 0.91, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.792, Wheel, -1040.7, 0.94, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.806, Wheel, -1042.7, 0.94, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.819, Wheel, -1046.6, 0.95, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.859, Wheel, -1050.5, 0.95, 5-6, 0
nszw26001_Yrgy0QMOmN,2026-01-27_23-15-13,2026-01-27_23-19-35,ItoE_name, 34.939, Wheel, -1064.7, 0.96, 5-6, 0
