ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 8.839, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 8.886, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 26.129, Wheel, -207.0, 0.92, 2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 27.764, Wheel, -225.0, 1.00, 2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 28.032, Wheel, -225.0, 1.00, 2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 39.003, Wheel, -655.0, 1.00, 3-4, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 39.455, Wheel, -655.0, 1.00, 3-4, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 47.471, Wheel, -810.0, 1.00, 4-5, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 58.630, Wheel, -1147.0, 0.98, 6, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 58.782, Wheel, -1158.0, 0.99, 6, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 59.398, Wheel, -1164.8, 0.99, 6, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 59.465, Wheel, -1164.8, 0.99, 6, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 70.300, Wheel, -1661.0, 1.00, 8, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 1.553, Wheel, 20.0, 0.00, None, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 3.854, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 3.887, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 7.623, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 25.894, Wheel, -655.0, 0.97, 3-4, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 48.188, Drag, -1540.9, 0.92, 6-7-8, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 48.394, Drag, -1064.6, 0.64, 5-6, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 48.595, Drag, -720.4, 0.44, 4-5, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 48.812, Drag, -380.2, 0.23, 2-3-4, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 49.022, Drag, -136.0, 0.09, 1-2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 49.228, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 49.561, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 49.762, Drag, -1304.7, 0.78, 6-7-8, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 49.964, Drag, -1661.0, 1.00, 8, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 50.179, Drag, -1661.0, 1.00, 8, 0
nszw26001_ZEzgGXVKmi,2026-01-27_23-04-53,2026-01-27_23-11-46,ItoE_name, 50.242, DragEnd, -1661.0, 1.00, 8, 0
