ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 18.029, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 63.289, Drag, -610.9, 0.91, 3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 63.505, Drag, -586.8, 0.87, 3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 63.721, Drag, -569.5, 0.85, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 63.937, Drag, -528.1, 0.79, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 64.137, Drag, -450.6, 0.67, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 64.353, Drag, -357.5, 0.54, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 70.486, Drag, -312.7, 0.48, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 70.687, Drag, -343.7, 0.52, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 70.937, Drag, -343.7, 0.52, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 72.503, Drag, -366.1, 0.55, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 72.820, Drag, -388.5, 0.58, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 73.020, Drag, -448.8, 0.67, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 73.220, Drag, -555.7, 0.83, 2-3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 73.420, Drag, -636.7, 0.94, 3-4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 73.620, Drag, -673.0, 1.00, 4, 0
nszw26001_ZND7GrmQmu,2026-01-27_23-01-56,2026-01-27_23-11-10,ItoE_name, 74.047, DragEnd, -673.0, 1.00, 4, 0
