ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.092, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.134, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.158, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.225, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.375, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 2.951, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 3.000, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 5.201, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 5.233, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 5.317, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 5.367, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.208, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.233, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.274, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.333, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.374, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZdHvyY2wTb,2026-01-28_00-36-16,2026-01-28_00-43-15,ItoI_name, 11.666, Wheel, 20.0, 0.00, 0, 0
