ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 113.778, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 114.827, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 115.326, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 115.376, Wheel, -1611.5, 0.99, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 115.793, Wheel, -1579.4, 0.97, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 115.809, Wheel, -1581.2, 0.97, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 115.843, Wheel, -1588.0, 0.98, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 116.242, Wheel, -1614.6, 0.99, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 116.259, Wheel, -1612.9, 0.99, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 116.276, Wheel, -1609.3, 0.99, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 116.292, Wheel, -1604.0, 0.99, 7-8, 1
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.452, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.469, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.486, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 4.536, Wheel, 20.0, 0.00, 0, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 15.430, Wheel, -484.8, 0.80, 2-3-4, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 15.463, Wheel, -508.8, 0.83, 2-3-4, 0
nszw26001_ZraTpYwOfb,2026-01-27_20-02-31,2026-01-27_20-07-03,ItoI_name, 15.513, Wheel, -536.5, 0.88, 2-3-4, 0
