ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 33.798, Drag, -102.7, 0.59, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 34.012, Drag, -91.7, 0.54, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 34.245, Drag, -92.5, 0.54, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 34.780, Drag, -92.9, 0.55, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 35.929, Drag, -93.2, 0.55, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 36.129, Drag, -93.9, 0.55, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 36.379, Drag, -92.9, 0.55, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 36.579, Drag, -92.7, 0.55, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 36.796, Drag, -90.3, 0.53, 1-2, 0
nszw26001_aNDB7zYngR,2026-01-27_23-56-24,2026-01-28_00-10-53,ItoE_noname, 36.929, DragEnd, -81.7, 0.49, 1-2, 0
