ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 27.313, Drag, -42.3, 0.34, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 27.529, Drag, -12.2, 0.17, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 27.730, Drag, -0.4, 0.11, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 28.030, Drag, 9.1, 0.05, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 28.247, Drag, 9.5, 0.05, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 28.447, Drag, -24.4, 0.24, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 28.647, Drag, -74.1, 0.51, 0-1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 28.847, Drag, -122.4, 0.77, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 29.016, DragEnd, -132.5, 0.83, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 34.888, Wheel, -132.5, 0.83, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.072, Wheel, -146.2, 0.90, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.139, Wheel, -141.5, 0.88, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.489, Wheel, -115.6, 0.74, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.522, Wheel, -118.8, 0.75, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.555, Wheel, -125.2, 0.79, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 35.588, Wheel, -132.4, 0.83, 1-2, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 43.014, Drag, -480.2, 0.82, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 43.214, Drag, -413.5, 0.71, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 43.448, Drag, -378.7, 0.65, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 46.134, Drag, -368.5, 0.63, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 46.334, Drag, -400.5, 0.69, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 46.535, Drag, -499.1, 0.85, 2-3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 46.735, Drag, -570.1, 0.96, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 46.935, Drag, -589.0, 1.00, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 47.202, Drag, -589.0, 1.00, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 47.304, DragEnd, -589.0, 1.00, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 51.958, Wheel, -589.0, 0.97, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 52.008, Wheel, -593.8, 0.97, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 52.074, Wheel, -598.3, 0.98, 3-4, 0
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 130.249, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 130.333, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 130.466, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_bKvow9BBaB,2026-01-27_20-02-46,2026-01-27_20-11-53,ItoE_noname, 130.699, Wheel, -1463.0, 1.00, 7-8, 1
