ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 87.131, Drag, -1323.7, 0.89, 6-7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 87.347, Drag, -1058.5, 0.71, 6-7, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 87.564, Drag, -883.0, 0.60, 4-5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 87.765, Drag, -635.7, 0.43, 4-5, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 87.981, Drag, -488.8, 0.33, 2-3-4, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 88.097, DragEnd, -420.7, 0.29, 2-3-4, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 92.313, Drag, -420.7, 0.29, 2-3-4, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 92.513, Drag, -12.2, 0.02, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 92.880, Drag, -5.0, 0.01, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 93.113, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 93.480, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 93.696, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 93.896, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 94.113, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 94.329, Drag, -26.5, 0.03, 0-1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 94.530, Drag, -105.4, 0.08, 1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 95.813, Drag, -119.7, 0.09, 1-2-3, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 96.980, Drag, -94.6, 0.07, 1-2, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 97.196, Drag, -116.1, 0.09, 1-2-3, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 98.929, Drag, -119.7, 0.09, 1-2-3, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 99.129, Drag, -639.3, 0.43, 4-5, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 103.647, Drag, -725.3, 0.49, 4-5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 103.862, Drag, -865.0, 0.58, 4-5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 104.062, Drag, -940.3, 0.63, 4-5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 104.279, Drag, -994.0, 0.67, 5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 105.529, Drag, -1008.4, 0.68, 5-6, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 105.729, Drag, -1166.0, 0.78, 6-7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 107.729, Drag, -1209.0, 0.81, 6-7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 109.029, Drag, -1241.3, 0.83, 6-7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 109.245, Drag, -1427.6, 0.96, 6-7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 109.445, Drag, -1485.0, 1.00, 7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 109.663, Drag, -1485.0, 1.00, 7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 109.863, Drag, -1485.0, 1.00, 7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 110.078, Drag, -1485.0, 1.00, 7-8, 1
nszw26001_bprvmmGpeK,2026-01-27_23-09-31,2026-01-27_23-13-27,ItoE_name, 110.446, DragEnd, -1485.0, 1.00, 7-8, 1
