ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 15.505, Wheel, -163.0, 1.00, 2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 15.877, Wheel, -144.4, 0.89, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 15.957, Wheel, -135.6, 0.85, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 16.517, Wheel, -103.6, 0.67, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 22.506, Wheel, -83.0, 0.56, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 24.039, Wheel, -103.0, 0.67, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 24.119, Wheel, -112.3, 0.72, 1-2, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 37.885, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 37.965, Wheel, -580.8, 0.98, 3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 38.045, Wheel, -567.7, 0.96, 3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 38.111, Wheel, -554.4, 0.94, 3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 38.591, Wheel, -511.1, 0.87, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 38.699, Wheel, -500.7, 0.85, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 39.152, Wheel, -470.6, 0.80, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 39.592, Wheel, -450.3, 0.77, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 39.727, Wheel, -438.2, 0.75, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 39.806, Wheel, -428.1, 0.73, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 40.219, Wheel, -391.8, 0.67, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 40.486, Wheel, -373.6, 0.64, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 40.726, Wheel, -354.6, 0.61, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 41.206, Wheel, -330.3, 0.57, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 41.273, Wheel, -337.9, 0.58, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 41.312, Wheel, -343.8, 0.59, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 41.406, Wheel, -365.0, 0.63, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 41.473, Wheel, -380.1, 0.65, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.087, Wheel, -428.1, 0.73, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.193, Wheel, -439.0, 0.75, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.233, Wheel, -444.7, 0.76, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.299, Wheel, -459.9, 0.78, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.367, Wheel, -476.8, 0.81, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.744, Wheel, -523.2, 0.89, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.756, Wheel, -525.8, 0.89, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.779, Wheel, -530.1, 0.90, 2-3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 42.873, Wheel, -557.7, 0.94, 3-4, 0
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 76.113, Wheel, 20.0, 0.00, 0, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 76.219, Wheel, 20.0, 0.00, 0, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.219, Wheel, -1125.0, 1.00, 6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.244, Wheel, -1123.0, 0.99, 6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.284, Wheel, -1115.7, 0.99, 6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.578, Wheel, -1070.5, 0.95, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.617, Wheel, -1065.7, 0.94, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.978, Wheel, -1029.4, 0.91, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 109.991, Wheel, -1027.0, 0.91, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.017, Wheel, -1022.8, 0.91, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.044, Wheel, -1017.0, 0.90, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.071, Wheel, -1009.8, 0.89, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.137, Wheel, -980.6, 0.87, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.351, Wheel, -920.5, 0.82, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.377, Wheel, -917.0, 0.81, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.404, Wheel, -911.8, 0.81, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.417, Wheel, -905.1, 0.80, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.952, Wheel, -827.0, 0.73, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.978, Wheel, -828.8, 0.74, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 110.991, Wheel, -832.4, 0.74, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.018, Wheel, -837.6, 0.74, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.045, Wheel, -844.4, 0.75, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.058, Wheel, -852.4, 0.76, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.111, Wheel, -877.5, 0.78, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.392, Wheel, -951.8, 0.84, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.407, Wheel, -955.1, 0.85, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.418, Wheel, -960.1, 0.85, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.431, Wheel, -966.6, 0.86, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.458, Wheel, -974.4, 0.86, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.471, Wheel, -983.5, 0.87, 4-5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.753, Wheel, -1069.7, 0.95, 5-6, 1
nszw26001_cfuRF0DvoD,2026-01-27_20-02-54,2026-01-27_20-09-53,ItoI_noname, 111.766, Wheel, -1073.2, 0.95, 5-6, 1
