ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 34.596, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 34.712, Wheel, -600.5, 0.95, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 34.995, Wheel, -575.9, 0.91, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.129, Wheel, -561.7, 0.89, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.462, Wheel, -534.7, 0.85, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.479, Wheel, -532.3, 0.85, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.495, Wheel, -528.2, 0.84, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.829, Wheel, -477.9, 0.76, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 35.845, Wheel, -475.2, 0.76, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 36.179, Wheel, -436.3, 0.70, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 36.212, Wheel, -431.5, 0.69, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 36.229, Wheel, -427.5, 0.68, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.412, Wheel, -371.0, 0.60, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.429, Wheel, -373.0, 0.60, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.445, Wheel, -376.8, 0.61, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.479, Wheel, -387.0, 0.62, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.962, Wheel, -447.9, 0.72, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.979, Wheel, -450.2, 0.72, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 40.995, Wheel, -454.3, 0.73, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 41.029, Wheel, -465.1, 0.74, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 41.412, Wheel, -525.1, 0.84, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 41.429, Wheel, -527.7, 0.84, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 41.462, Wheel, -535.9, 0.85, 2-3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 41.979, Wheel, -588.9, 0.93, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.012, Wheel, -593.0, 0.94, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.029, Wheel, -596.6, 0.95, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.095, Wheel, -607.8, 0.96, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.395, Wheel, -625.8, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.445, Wheel, -626.6, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.712, Wheel, -628.5, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.729, Wheel, -628.6, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.745, Wheel, -628.6, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 42.762, Wheel, -628.6, 0.99, 3-4, 0
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 141.313, Drag, -1223.4, 0.82, 6-7-8, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 141.529, Drag, -198.5, 0.14, 2-3-4, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 141.729, Drag, -134.0, 0.10, 1-2-3, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 141.929, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 142.179, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 142.862, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 143.079, Drag, -1015.5, 0.68, 5-6, 1
nszw26001_cgM60a8Kvo,2026-01-27_20-02-32,2026-01-27_20-06-54,ItoE_name, 143.279, Drag, -1485.0, 1.00, 7-8, 1
