ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 11.882, Wheel, 20.0, 0.00, 0, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 12.114, Wheel, 20.0, 0.00, 0, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 12.197, Wheel, 20.0, 0.00, 0, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 13.147, Wheel, 20.0, 0.00, 0, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 13.247, Wheel, 20.0, 0.00, 0, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 227.651, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 227.683, Wheel, -1547.2, 0.99, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 227.750, Wheel, -1534.7, 0.98, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 228.450, Wheel, -1491.5, 0.96, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 228.483, Wheel, -1487.6, 0.95, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 228.516, Wheel, -1480.6, 0.95, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.083, Wheel, -1432.3, 0.92, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.116, Wheel, -1428.3, 0.92, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.133, Wheel, -1424.5, 0.91, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.183, Wheel, -1410.0, 0.91, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.717, Wheel, -1353.0, 0.87, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.750, Wheel, -1348.8, 0.87, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 229.783, Wheel, -1341.6, 0.86, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 239.599, Wheel, -1291.0, 0.83, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 239.683, Wheel, -1299.1, 0.83, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 240.383, Wheel, -1330.6, 0.85, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 240.433, Wheel, -1336.1, 0.86, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 240.999, Wheel, -1370.0, 0.88, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 241.049, Wheel, -1375.7, 0.88, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 241.099, Wheel, -1385.2, 0.89, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 261.048, Wheel, -1431.0, 0.92, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 286.163, Wheel, -1451.0, 0.93, 6-7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 286.346, Wheel, -1464.7, 0.94, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 287.096, Wheel, -1490.7, 0.96, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 287.146, Wheel, -1496.2, 0.96, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 287.196, Wheel, -1505.6, 0.97, 7-8, 0
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 305.712, Wheel, 20.0, 0.00, 0, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 309.228, Wheel, 20.0, 0.00, 0, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 336.077, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 336.993, Wheel, -99.0, 0.85, 1-2, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 338.227, Wheel, -79.0, 0.71, 1-2, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 345.876, Wheel, -59.0, 0.56, 1-2, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 345.993, Wheel, -69.4, 0.64, 1-2, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 361.125, Wheel, -545.0, 1.00, 3-4, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 361.325, Wheel, -530.6, 0.97, 3-4, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 378.024, Wheel, -1015.0, 1.00, 5-6, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 380.024, Wheel, -995.0, 0.98, 5-6, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 380.108, Wheel, -986.8, 0.97, 5-6, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 404.273, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_cqVdjgsjix,2026-01-27_23-51-38,2026-01-28_00-06-22,ItoE_noname, 406.522, Wheel, -1443.0, 0.98, 7-8, 1
