ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 10.436, Wheel, 20.0, 0.00, 0, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 11.203, Wheel, 20.0, 0.00, 0, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 11.235, Wheel, 20.0, 0.00, 0, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 11.986, Wheel, 20.0, 0.00, 0, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 51.933, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.015, Wheel, -580.8, 0.98, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.467, Wheel, -550.8, 0.93, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.499, Wheel, -546.6, 0.93, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.532, Wheel, -539.5, 0.91, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.816, Wheel, -497.4, 0.84, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.849, Wheel, -492.0, 0.84, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.866, Wheel, -487.7, 0.83, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.882, Wheel, -481.8, 0.82, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 52.916, Wheel, -468.0, 0.80, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 53.183, Wheel, -403.6, 0.69, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 53.200, Wheel, -400.1, 0.68, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 53.232, Wheel, -390.4, 0.67, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 53.250, Wheel, -384.3, 0.66, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 55.367, Wheel, -309.0, 0.54, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 55.400, Wheel, -312.8, 0.54, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 55.417, Wheel, -316.4, 0.55, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 55.450, Wheel, -326.4, 0.56, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.050, Wheel, -387.5, 0.66, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.067, Wheel, -389.7, 0.67, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.134, Wheel, -403.2, 0.69, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.484, Wheel, -443.9, 0.76, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.500, Wheel, -446.4, 0.76, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 56.984, Wheel, -486.9, 0.83, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 57.568, Wheel, -508.4, 0.86, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 57.601, Wheel, -512.3, 0.87, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 57.634, Wheel, -519.3, 0.88, 2-3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 57.968, Wheel, -562.9, 0.95, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 57.984, Wheel, -565.5, 0.96, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.000, Wheel, -567.9, 0.96, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.017, Wheel, -570.0, 0.96, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.268, Wheel, -585.0, 0.99, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.284, Wheel, -585.4, 0.99, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.301, Wheel, -585.8, 0.99, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 58.317, Wheel, -586.1, 0.99, 3-4, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.126, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.159, Wheel, -1547.2, 0.99, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.208, Wheel, -1537.3, 0.99, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.541, Wheel, -1496.6, 0.96, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.559, Wheel, -1494.0, 0.96, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.592, Wheel, -1485.8, 0.95, 7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.875, Wheel, -1440.1, 0.92, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.891, Wheel, -1437.2, 0.92, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.925, Wheel, -1428.4, 0.92, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 43.975, Wheel, -1412.8, 0.91, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 44.225, Wheel, -1363.7, 0.88, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 44.241, Wheel, -1360.4, 0.87, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 44.258, Wheel, -1355.5, 0.87, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 44.875, Wheel, -1292.3, 0.83, 6-7-8, 0
nszw26001_e6wlvPylbg,2026-01-27_23-01-30,2026-01-27_23-10-04,ItoE_noname, 44.893, Wheel, -1294.1, 0.83, 6-7-8, 0
