ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 22.387, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 22.403, Wheel, -609.0, 0.99, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 22.470, Wheel, -609.6, 0.99, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 22.786, Wheel, -593.5, 0.97, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 23.253, Wheel, -572.1, 0.93, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 23.386, Wheel, -560.1, 0.91, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 26.538, Drag, -397.6, 0.66, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 26.753, Drag, -340.5, 0.57, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 26.971, Drag, -313.5, 0.52, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 27.637, Drag, -315.0, 0.53, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 27.837, Drag, -379.6, 0.63, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 28.037, Drag, -421.7, 0.70, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 28.253, Drag, -492.3, 0.81, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 28.453, Drag, -540.3, 0.88, 2-3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 28.670, Drag, -568.9, 0.93, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 28.870, Drag, -589.9, 0.96, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 29.086, Drag, -607.9, 0.99, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 29.287, Drag, -611.0, 1.00, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 29.503, Drag, -611.0, 1.00, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 29.510, DragEnd, -611.0, 1.00, 3-4, 0
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.470, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.487, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.553, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.620, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.636, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.720, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.736, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.770, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.853, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_eKIWQEKk3H,2026-01-27_20-02-33,2026-01-27_20-10-32,ItoI_name, 54.870, Wheel, 20.0, 0.00, 0-1, 1
