ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 18.548, Wheel, 20.0, 0.00, 0, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 18.640, Wheel, 20.0, 0.00, 0, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 61.730, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 61.796, Wheel, -602.8, 0.98, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.383, Wheel, -571.3, 0.93, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.396, Wheel, -573.2, 0.94, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.409, Wheel, -577.0, 0.94, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.423, Wheel, -580.4, 0.95, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.450, Wheel, -586.2, 0.96, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 62.476, Wheel, -587.1, 0.96, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 66.674, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 66.714, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 66.754, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.327, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.370, Wheel, -605.5, 0.99, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.380, Wheel, -602.1, 0.98, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.407, Wheel, -601.0, 0.98, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.420, Wheel, -598.0, 0.97, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.461, Wheel, -585.2, 0.95, 3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.927, Wheel, -532.3, 0.87, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.940, Wheel, -530.2, 0.87, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 67.967, Wheel, -522.7, 0.86, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 71.272, Wheel, -471.0, 0.77, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 71.312, Wheel, -465.5, 0.76, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 71.325, Wheel, -462.1, 0.76, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 71.352, Wheel, -452.4, 0.74, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 71.379, Wheel, -440.7, 0.73, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 73.952, Wheel, -371.0, 0.61, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.005, Wheel, -377.8, 0.63, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.033, Wheel, -384.1, 0.64, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.045, Wheel, -388.8, 0.64, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.059, Wheel, -395.0, 0.65, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.071, Wheel, -398.6, 0.66, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.138, Wheel, -420.0, 0.69, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.538, Wheel, -468.8, 0.77, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.564, Wheel, -473.0, 0.78, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.578, Wheel, -476.8, 0.78, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 74.617, Wheel, -491.5, 0.81, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 75.804, Wheel, -551.0, 0.90, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 75.870, Wheel, -559.1, 0.91, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 75.910, Wheel, -556.9, 0.91, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 76.177, Wheel, -534.5, 0.87, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 76.203, Wheel, -530.0, 0.87, 2-3-4, 0
nszw26001_eVPzxNygiV,2026-01-27_23-06-25,2026-01-27_23-14-47,ItoE_name, 76.230, Wheel, -522.6, 0.85, 2-3-4, 0
