ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 28.274, Wheel, -185.0, 1.00, 2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 28.356, Wheel, -176.8, 0.96, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 28.474, Wheel, -160.2, 0.87, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 28.674, Wheel, -134.9, 0.75, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 46.033, Wheel, -105.0, 0.60, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 46.067, Wheel, -108.8, 0.62, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 46.083, Wheel, -112.4, 0.64, 1-2, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 58.269, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 58.335, Wheel, -604.1, 0.98, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 58.803, Wheel, -572.7, 0.93, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.270, Wheel, -552.1, 0.90, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.286, Wheel, -550.0, 0.90, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.303, Wheel, -546.1, 0.89, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.336, Wheel, -535.6, 0.88, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.754, Wheel, -475.6, 0.78, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.770, Wheel, -473.1, 0.78, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.787, Wheel, -468.9, 0.77, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.804, Wheel, -463.1, 0.76, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 59.837, Wheel, -449.4, 0.74, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 60.906, Wheel, -371.0, 0.61, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 60.922, Wheel, -373.0, 0.62, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 60.939, Wheel, -376.8, 0.62, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 60.956, Wheel, -382.2, 0.63, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 60.972, Wheel, -389.0, 0.64, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.274, Wheel, -471.0, 0.77, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.308, Wheel, -474.8, 0.78, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.324, Wheel, -478.4, 0.78, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.342, Wheel, -483.6, 0.79, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.358, Wheel, -490.4, 0.80, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.374, Wheel, -498.4, 0.82, 2-3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.726, Wheel, -580.8, 0.95, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.742, Wheel, -583.8, 0.95, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 62.776, Wheel, -589.0, 0.96, 3-4, 0
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.331, Wheel, -185.0, 1.00, 2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.365, Wheel, -181.2, 0.98, 2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.381, Wheel, -177.5, 0.96, 1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.414, Wheel, -167.5, 0.91, 1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.850, Wheel, -109.0, 0.62, 1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.931, Wheel, -99.1, 0.58, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 99.982, Wheel, -89.9, 0.53, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 103.136, Wheel, -45.0, 0.31, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 103.253, Wheel, -55.4, 0.36, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 103.770, Wheel, -83.8, 0.50, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 103.804, Wheel, -87.8, 0.52, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 103.821, Wheel, -91.5, 0.54, 0-1-2, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.413, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.429, Wheel, -1615.0, 0.99, 7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.462, Wheel, -1607.7, 0.99, 7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.530, Wheel, -1590.3, 0.98, 7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.563, Wheel, -1580.1, 0.97, 7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.830, Wheel, -1528.7, 0.94, 6-7-8, 1
nszw26001_epHodAuERL,2026-01-27_23-00-59,2026-01-27_23-11-20,ItoI_name, 131.847, Wheel, -1525.5, 0.94, 6-7-8, 1
