ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 149.851, Drag, -89.8, 0.60, 1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 150.066, Drag, -51.8, 0.39, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 150.350, Drag, -49.2, 0.37, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 150.550, Drag, -43.1, 0.34, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 150.751, Drag, -37.0, 0.31, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 151.002, Drag, -34.9, 0.30, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 151.202, Drag, -33.1, 0.29, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 151.820, Drag, -32.7, 0.28, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 152.204, Drag, -33.5, 0.29, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 152.705, Drag, -34.0, 0.29, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 152.956, Drag, -34.9, 0.30, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 153.858, Drag, -35.7, 0.30, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 154.058, Drag, -40.5, 0.33, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 154.292, Drag, -43.6, 0.34, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 154.492, Drag, -46.2, 0.36, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 154.693, Drag, -52.3, 0.39, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 155.244, Drag, -65.4, 0.46, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 155.444, Drag, -83.7, 0.56, 1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 155.644, Drag, -122.4, 0.77, 1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 155.845, Drag, -143.8, 0.89, 1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 156.096, Drag, -163.0, 1.00, 2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 156.561, DragEnd, -163.0, 1.00, 2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 165.265, Drag, -47.9, 0.37, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 165.465, Drag, -9.6, 0.16, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 165.733, Drag, -8.3, 0.15, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 165.983, Drag, -7.8, 0.15, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 166.184, Drag, -0.9, 0.11, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 166.384, Drag, 0.8, 0.10, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 166.685, Drag, 7.8, 0.06, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 166.902, Drag, 9.5, 0.05, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 168.083, DragEnd, 9.9, 0.05, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 221.486, Drag, -1420.0, 0.91, 6-7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 221.686, Drag, -1150.7, 0.74, 6-7, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 222.588, Drag, -1004.8, 0.65, 5-6, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 222.789, Drag, -761.7, 0.49, 4-5-6, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 222.989, Drag, -331.6, 0.22, 2-3-4, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 223.407, Drag, -159.5, 0.11, 2-3, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 223.691, Drag, -163.2, 0.11, 2-3, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 223.908, Drag, -167.0, 0.11, 2-3, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 224.108, Drag, -268.0, 0.18, 2-3-4, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 224.309, Drag, -709.3, 0.46, 4-5-6, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 224.509, Drag, -686.9, 0.45, 4-5-6, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 224.709, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 225.394, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 225.595, Drag, -103.4, 0.07, 1-2, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 225.812, Drag, -223.1, 0.15, 2-3-4, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 226.012, Drag, -735.5, 0.48, 4-5-6, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 226.480, Drag, -1064.7, 0.69, 5-6-7, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 226.680, Drag, -1551.0, 1.00, 7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 227.396, DragEnd, -1551.0, 1.00, 7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 249.980, Drag, -1382.6, 0.89, 6-7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 250.180, Drag, -1251.7, 0.80, 6-7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 251.021, DragEnd, -1240.5, 0.80, 6-7-8, 0
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 339.189, Drag, -954.4, 0.92, 5-6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 339.389, Drag, -996.3, 0.96, 5-6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 339.756, Drag, -1033.0, 1.00, 6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 340.609, Drag, -1033.0, 1.00, 6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 340.825, Drag, -1033.0, 1.00, 6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 341.026, Drag, -760.5, 0.74, 4-5-6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 341.477, Drag, -524.8, 0.51, 3-4, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 341.677, Drag, -1033.0, 1.00, 6, 1
nszw26001_etD2lZPfJJ,2026-01-27_20-02-42,2026-01-27_20-16-00,ItoE_noname, 342.216, DragEnd, -1033.0, 1.00, 6, 1
