ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 11.480, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 13.161, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 13.177, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 13.743, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 13.776, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 13.976, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 19.255, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 19.937, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 20.570, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 20.620, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 20.720, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 20.920, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 20.969, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 21.053, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 23.917, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 23.950, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 25.382, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 25.399, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.031, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.081, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.248, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.281, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.298, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 26.331, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 27.446, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 27.480, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 27.563, Wheel, 20.0, 0.00, 0, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 40.485, Wheel, -163.0, 1.00, 2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 40.950, Wheel, -144.0, 0.89, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 41.200, Wheel, -127.3, 0.80, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 45.663, Wheel, -103.0, 0.67, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 45.696, Wheel, -106.8, 0.69, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 45.830, Wheel, -127.4, 0.80, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 45.962, Wheel, -147.6, 0.91, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 46.046, Wheel, -153.9, 0.95, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 46.112, Wheel, -157.0, 0.96, 1-2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 46.412, Wheel, -162.1, 0.99, 2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 46.445, Wheel, -162.2, 0.99, 2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 46.562, Wheel, -162.6, 0.99, 2, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 56.653, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 57.052, Wheel, -570.5, 0.96, 3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 57.169, Wheel, -559.3, 0.95, 3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.216, Wheel, -529.0, 0.90, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.232, Wheel, -527.0, 0.89, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.249, Wheel, -523.2, 0.89, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.266, Wheel, -517.7, 0.88, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.499, Wheel, -464.7, 0.79, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.532, Wheel, -457.9, 0.78, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.565, Wheel, -448.6, 0.76, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.815, Wheel, -401.2, 0.69, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.849, Wheel, -395.1, 0.68, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.865, Wheel, -390.5, 0.67, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 60.899, Wheel, -378.8, 0.65, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 61.431, Wheel, -311.3, 0.54, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 61.465, Wheel, -307.1, 0.53, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 61.498, Wheel, -299.8, 0.52, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 61.548, Wheel, -286.1, 0.50, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 63.513, Wheel, -229.0, 0.40, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.561, Wheel, -249.0, 0.44, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.578, Wheel, -251.0, 0.44, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.611, Wheel, -258.2, 0.45, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.677, Wheel, -275.6, 0.48, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.860, Wheel, -312.2, 0.54, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 65.977, Wheel, -331.4, 0.57, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 66.360, Wheel, -365.6, 0.63, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 66.394, Wheel, -370.1, 0.64, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 66.444, Wheel, -380.6, 0.65, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 68.342, Wheel, -429.0, 0.73, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 68.375, Wheel, -432.8, 0.74, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 68.425, Wheel, -442.6, 0.75, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 68.509, Wheel, -461.6, 0.79, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 71.506, Wheel, -509.0, 0.86, 2-3-4, 0
nszw26001_f0ggCDxlde,2026-01-27_23-00-57,2026-01-27_23-08-07,ItoE_noname, 71.522, Wheel, -511.0, 0.87, 2-3-4, 0
