ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 18.276, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 18.341, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 18.424, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 18.541, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 19.191, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 19.241, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 19.275, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 19.357, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 20.725, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 20.757, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 20.790, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 21.173, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 21.190, Wheel, 20.0, 0.00, 0, 0
nszw26001_ft19kenYE0,2026-01-27_23-02-32,2026-01-27_23-21-13,ItoI_noname, 21.207, Wheel, 20.0, 0.00, 0, 0
