ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 72.987, Drag, -142.0, 0.79, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 73.200, Drag, -124.4, 0.70, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 73.400, Drag, -101.0, 0.59, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 73.600, Drag, -68.8, 0.43, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 73.800, Drag, -46.3, 0.32, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 74.000, Drag, -28.8, 0.23, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 74.200, Drag, -7.3, 0.13, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 74.400, Drag, 13.6, 0.03, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 74.600, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 76.454, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 76.654, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 76.854, Drag, 10.7, 0.04, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 77.054, Drag, -19.0, 0.19, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 77.255, Drag, -39.0, 0.28, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 77.495, Drag, -40.0, 0.29, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 77.695, Drag, -74.2, 0.45, 0-1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 77.895, Drag, -120.5, 0.68, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 78.095, Drag, -150.8, 0.83, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 78.295, Drag, -157.1, 0.86, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 78.522, Drag, -160.1, 0.87, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 78.638, DragEnd, -161.0, 0.88, 1-2, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 118.285, Drag, -460.4, 0.73, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 118.485, Drag, -438.6, 0.70, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 118.698, Drag, -421.5, 0.67, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 118.912, Drag, -396.6, 0.63, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 119.699, Drag, -385.7, 0.62, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 119.899, Drag, -323.6, 0.52, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 120.112, Drag, -317.3, 0.51, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 120.312, Drag, -312.7, 0.50, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 120.592, Drag, -297.1, 0.48, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 120.873, Drag, -289.3, 0.47, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 121.073, Drag, -276.9, 0.45, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 121.539, Drag, -273.8, 0.45, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 121.739, Drag, -427.7, 0.68, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 121.953, Drag, -489.9, 0.78, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 122.727, Drag, -502.4, 0.79, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 123.047, Drag, -535.0, 0.85, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 123.260, Drag, -427.7, 0.68, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 123.460, Drag, -340.7, 0.55, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 123.660, Drag, -272.2, 0.44, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 123.874, Drag, -248.9, 0.41, 2-3-4, 0
nszw26001_hnqdpq5uDX,2026-01-27_20-02-40,2026-01-27_20-16-21,ItoI_noname, 124.261, Drag, -224.0, 0.37, 2-3, 0
