ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.053, Wheel, -1059.0, 1.00, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.079, Wheel, -1057.0, 0.99, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.317, Wheel, -1024.7, 0.96, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.384, Wheel, -1014.1, 0.95, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.796, Wheel, -980.4, 0.92, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.809, Wheel, -982.3, 0.92, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.822, Wheel, -986.0, 0.93, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.835, Wheel, -991.3, 0.93, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.862, Wheel, -1004.1, 0.94, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 40.889, Wheel, -1014.5, 0.95, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 44.543, Wheel, -1059.0, 0.98, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 44.570, Wheel, -1062.4, 0.98, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 44.584, Wheel, -1063.8, 0.98, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 44.608, Wheel, -1065.1, 0.98, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 44.635, Wheel, -1067.4, 0.99, 5-6, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 56.698, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 56.766, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 69.853, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 69.879, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 69.906, Wheel, -119.0, 1.00, 1-2, 1
nszw26001_hpDK6GAc6r,2026-01-27_20-02-38,2026-01-27_20-07-17,ItoE_noname, 69.947, Wheel, -119.0, 1.00, 1-2, 1
