ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.557, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.572, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.589, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.606, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.622, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.639, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.656, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.672, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.689, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.706, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.723, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.739, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.756, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.773, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.789, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.806, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.823, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.838, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.855, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.873, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.889, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.906, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.923, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.939, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.956, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.973, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 6.989, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 7.006, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 7.022, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 7.040, Wheel, 20.0, 0.00, 0, 0
nszw26001_i3al5rKr3Z,2026-01-27_23-56-54,2026-01-28_00-00-46,ItoI_noname, 7.056, Wheel, 20.0, 0.00, 0, 0
