ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 62.004, Drag, -1402.3, 0.89, 6-7-8, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 62.217, Drag, -465.4, 0.30, 2-3-4, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 62.430, Drag, -374.4, 0.24, 2-3-4, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 62.630, Drag, -165.8, 0.11, 1-2-3, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 64.298, Drag, -120.3, 0.08, 1-2, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 64.738, Drag, 4.8, 0.00, 0-1-2, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 65.952, Drag, -6.5, 0.01, 0-1-2, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 66.165, Drag, -1573.0, 1.00, 7-8, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 66.306, DragEnd, -1573.0, 1.00, 7-8, 0
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 102.660, Wheel, -1147.0, 1.00, 6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 102.712, Wheel, -1140.1, 0.99, 6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 103.365, Wheel, -1107.2, 0.96, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 103.419, Wheel, -1100.2, 0.95, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 103.739, Wheel, -1069.6, 0.93, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 103.846, Wheel, -1056.7, 0.92, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.206, Wheel, -1028.9, 0.89, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.259, Wheel, -1021.3, 0.89, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.353, Wheel, -1003.4, 0.87, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.686, Wheel, -969.6, 0.84, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.726, Wheel, -963.4, 0.84, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 104.766, Wheel, -953.5, 0.83, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.179, Wheel, -908.7, 0.79, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.219, Wheel, -902.8, 0.79, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.246, Wheel, -896.0, 0.78, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.847, Wheel, -847.4, 0.74, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.860, Wheel, -849.4, 0.74, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.873, Wheel, -853.1, 0.74, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.886, Wheel, -858.5, 0.75, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.900, Wheel, -865.4, 0.75, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 105.927, Wheel, -880.9, 0.77, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.233, Wheel, -958.5, 0.83, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.246, Wheel, -961.3, 0.84, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.260, Wheel, -965.9, 0.84, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.273, Wheel, -972.0, 0.85, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.287, Wheel, -979.5, 0.85, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.300, Wheel, -984.2, 0.86, 4-5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.620, Wheel, -1041.9, 0.91, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.646, Wheel, -1046.7, 0.91, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.660, Wheel, -1050.7, 0.91, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.687, Wheel, -1061.4, 0.92, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 106.713, Wheel, -1073.9, 0.93, 5-6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 107.727, Wheel, -1147.0, 1.00, 6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 107.767, Wheel, -1147.0, 1.00, 6, 1
nszw26001_jCVLfrSFeh,2026-01-27_20-02-31,2026-01-27_20-09-09,ItoI_name, 107.794, Wheel, -1147.0, 1.00, 6, 1
