ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 1.277, Wheel, 20.0, 0.00, None, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 1.308, Wheel, 20.0, 0.00, None, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 1.341, Wheel, 20.0, 0.00, None, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 10.317, Wheel, 20.0, 0.00, 0, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 10.484, Wheel, 20.0, 0.00, 0, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 10.584, Wheel, 20.0, 0.00, 0, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 28.669, Wheel, -185.0, 1.00, 2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 28.736, Wheel, -178.1, 0.96, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.243, Wheel, -145.0, 0.80, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.293, Wheel, -139.5, 0.77, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.695, Wheel, -107.7, 0.62, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.746, Wheel, -101.5, 0.59, 0-1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.762, Wheel, -101.9, 0.59, 0-1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 30.813, Wheel, -108.1, 0.62, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 36.037, Wheel, -145.0, 0.80, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 36.071, Wheel, -141.2, 0.78, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 36.104, Wheel, -134.3, 0.75, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 39.320, Wheel, -85.0, 0.51, 0-1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 39.387, Wheel, -91.8, 0.54, 0-1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 42.368, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 42.402, Wheel, -128.8, 0.72, 1-2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 38.843, Wheel, -185.0, 1.00, 2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 38.909, Wheel, -185.0, 1.00, 2, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 59.306, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 59.322, Wheel, -612.8, 0.97, 3-4, 0
nszw26001_jDaIGyUn39,2026-01-27_23-12-33,2026-01-27_23-27-31,ItoI_name, 59.406, Wheel, -619.4, 0.98, 3-4, 0
