ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 228.998, Drag, -1391.8, 0.93, 6-7-8, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 229.214, Drag, -1370.3, 0.92, 6-7-8, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 229.431, Drag, -1284.3, 0.86, 6-7-8, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 229.631, Drag, -825.6, 0.56, 4-5-6, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 229.832, Drag, -345.5, 0.24, 2-3-4, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 230.032, Drag, -155.5, 0.11, 1-2-3, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 230.233, Drag, -8.6, 0.01, 0-1-2, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 230.433, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 230.649, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 230.849, Drag, -37.3, 0.03, 0-1-2, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 231.049, Drag, -843.5, 0.57, 4-5-6, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 231.250, Drag, -1305.8, 0.88, 6-7-8, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 231.450, Drag, -1485.0, 1.00, 7-8, 1
nszw26001_jUNc3kctIN,2026-01-27_23-15-20,2026-01-27_23-30-02,ItoE_name, 231.661, DragEnd, -1485.0, 1.00, 7-8, 1
