ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 64.352, Drag, -404.8, 0.69, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 64.567, Drag, -304.8, 0.53, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 64.768, Drag, -249.7, 0.44, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 64.985, Drag, -233.7, 0.41, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 65.318, Drag, -226.5, 0.40, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 65.519, Drag, -210.5, 0.37, 2-3, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 65.719, Drag, -180.1, 0.32, 2-3, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 65.919, Drag, -148.2, 0.27, 1-2-3, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 66.135, Drag, -120.6, 0.23, 1-2, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 66.386, Drag, -107.6, 0.20, 1-2, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 66.586, Drag, -111.9, 0.21, 1-2, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 66.786, Drag, -377.3, 0.65, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 67.087, Drag, -477.3, 0.81, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 67.287, Drag, -522.3, 0.89, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 67.504, Drag, -539.6, 0.91, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 67.704, Drag, -558.5, 0.95, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 67.905, Drag, -578.8, 0.98, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 68.121, Drag, -589.0, 1.00, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 68.338, Drag, -589.0, 1.00, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 68.340, DragEnd, -589.0, 1.00, 3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 76.930, Drag, -480.2, 0.82, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 77.147, Drag, -426.5, 0.73, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 77.364, Drag, -399.0, 0.68, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 77.564, Drag, -338.1, 0.58, 2-3-4, 0
nszw26001_kF6UQSuQkd,2026-01-27_20-02-36,2026-01-27_20-13-31,ItoE_noname, 77.815, Drag, -288.8, 0.50, 2-3-4, 0
