ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 0.903, Wheel, 20.0, 0.00, None, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 11.053, Wheel, 20.0, 0.00, 0, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 15.286, Wheel, 20.0, 0.00, 0, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 28.137, Drag, -113.3, 0.72, 1-2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 28.436, Drag, -115.5, 0.74, 1-2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 28.720, Drag, -107.6, 0.69, 1-2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 28.936, Drag, -147.3, 0.91, 1-2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 29.152, Drag, -157.3, 0.96, 1-2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 29.234, DragEnd, -160.3, 0.98, 2, 0
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 54.786, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 55.203, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 62.853, Wheel, -163.0, 0.91, 2, 1
nszw26001_kgJqOg26BF,2026-01-27_20-02-34,2026-01-27_20-06-50,ItoI_noname, 74.718, Wheel, -181.0, 1.00, 2, 1
