ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 13.716, Wheel, 20.0, 0.00, 0, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 13.861, Wheel, 20.0, 0.00, 0, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 14.025, Wheel, 20.0, 0.00, 0, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 32.738, Wheel, -185.0, 1.00, 2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 32.858, Wheel, -171.9, 0.93, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 33.259, Wheel, -146.2, 0.81, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 33.277, Wheel, -144.1, 0.80, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 33.307, Wheel, -136.7, 0.76, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 45.933, Wheel, -85.0, 0.51, 0-1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 46.296, Wheel, -103.9, 0.60, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 46.519, Wheel, -121.4, 0.69, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 46.719, Wheel, -140.1, 0.78, 1-2, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 56.833, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 56.906, Wheel, -602.8, 0.98, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 57.276, Wheel, -572.4, 0.93, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.417, Wheel, -551.0, 0.90, 2-3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.701, Wheel, -568.8, 0.93, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.731, Wheel, -574.8, 0.94, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.762, Wheel, -581.6, 0.95, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.811, Wheel, -591.7, 0.96, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.834, Wheel, -593.6, 0.97, 3-4, 0
nszw26001_kh8FKkED8a,2026-01-27_20-23-05,2026-01-27_20-27-58,ItoI_name, 58.889, Wheel, -599.6, 0.98, 3-4, 0
