ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 6.306, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 12.704, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 12.754, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 15.037, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 16.503, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 21.052, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 21.268, Wheel, 20.0, 0.00, 0, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 54.806, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 54.839, Wheel, -607.2, 0.99, 3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.257, Wheel, -573.5, 0.94, 3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.290, Wheel, -569.3, 0.93, 3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.723, Wheel, -533.4, 0.87, 2-3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.740, Wheel, -531.2, 0.87, 2-3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.757, Wheel, -527.2, 0.86, 2-3-4, 0
nszw26001_lKmAxuocXa,2026-01-27_20-02-33,2026-01-27_20-09-03,ItoE_name, 55.807, Wheel, -511.9, 0.84, 2-3-4, 0
