ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 41.771, Drag, -447.2, 0.69, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 41.922, DragEnd, -518.4, 0.79, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 43.258, Drag, -448.5, 0.69, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 43.497, Drag, -341.3, 0.53, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 43.702, Drag, -308.5, 0.48, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 43.910, Drag, -300.4, 0.47, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 44.117, Drag, -299.1, 0.47, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 45.383, Drag, -301.0, 0.47, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 45.601, Drag, -331.2, 0.52, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 45.806, Drag, -374.1, 0.58, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 46.011, Drag, -410.0, 0.63, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 46.217, Drag, -444.1, 0.68, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 46.424, Drag, -445.3, 0.68, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 46.647, Drag, -446.6, 0.69, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 46.849, Drag, -445.9, 0.69, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 47.055, Drag, -447.8, 0.69, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 47.258, Drag, -543.0, 0.83, 2-3-4, 0
nszw26001_ld1WmHaCKr,2026-01-27_20-02-33,2026-01-27_20-07-24,ItoE_name, 47.440, DragEnd, -580.8, 0.89, 2-3-4, 0
