ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 18.570, Wheel, -163.0, 1.00, 2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 18.602, Wheel, -159.2, 0.97, 2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 19.197, Wheel, -123.8, 0.78, 1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 19.231, Wheel, -119.8, 0.76, 1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 19.644, Wheel, -85.6, 0.57, 1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 19.677, Wheel, -81.3, 0.55, 1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 19.710, Wheel, -74.0, 0.51, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.040, Wheel, -29.2, 0.26, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.057, Wheel, -26.5, 0.25, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.090, Wheel, -18.3, 0.20, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.404, Wheel, 14.8, 0.02, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.437, Wheel, 15.8, 0.02, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.470, Wheel, 16.6, 0.01, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.751, Wheel, 19.4, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.767, Wheel, 19.4, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 20.801, Wheel, 19.5, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 21.082, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 21.115, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 21.429, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 21.462, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 22.536, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_ljjE8t7QRq,2026-01-27_23-00-59,2026-01-27_23-04-54,ItoE_noname, 23.114, Wheel, 20.0, 0.00, 0-1-2, 0
