ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 46.230, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 46.309, Wheel, -604.1, 0.98, 3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 46.710, Wheel, -573.6, 0.94, 3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 46.743, Wheel, -569.3, 0.93, 3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 46.810, Wheel, -556.1, 0.91, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.077, Wheel, -519.3, 0.85, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.094, Wheel, -516.5, 0.85, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.127, Wheel, -507.8, 0.83, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.411, Wheel, -460.4, 0.76, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.427, Wheel, -457.5, 0.75, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.460, Wheel, -448.6, 0.74, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.945, Wheel, -393.7, 0.65, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 47.978, Wheel, -389.4, 0.64, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.012, Wheel, -382.1, 0.63, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.328, Wheel, -337.9, 0.56, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.345, Wheel, -339.2, 0.56, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.362, Wheel, -342.3, 0.57, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.395, Wheel, -351.6, 0.58, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.628, Wheel, -397.4, 0.66, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.645, Wheel, -400.7, 0.66, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.662, Wheel, -405.7, 0.67, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 48.695, Wheel, -418.1, 0.69, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 49.046, Wheel, -483.0, 0.79, 2-3-4, 0
nszw26001_mD9v9AmazS,2026-01-27_20-06-00,2026-01-27_20-11-17,ItoE_name, 49.080, Wheel, -488.3, 0.80, 2-3-4, 0
