ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 19.302, Wheel, -185.0, 1.00, 2, 0
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 21.994, Wheel, -165.0, 0.90, 1-2, 0
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 22.094, Wheel, -174.3, 0.94, 1-2, 0
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 33.861, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 81.195, Wheel, -185.0, 0.91, 2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 81.319, Wheel, -174.5, 0.87, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 81.844, Wheel, -146.0, 0.74, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 86.494, Wheel, -125.0, 0.65, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 86.544, Wheel, -130.4, 0.67, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 86.569, Wheel, -133.8, 0.69, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 86.603, Wheel, -143.5, 0.73, 1-2, 1
nszw26001_mqQRm4ZW3E,2026-01-27_20-02-32,2026-01-27_20-06-41,ItoI_name, 86.653, Wheel, -159.6, 0.80, 1-2, 1
