ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 12.389, Wheel, 20.0, 0.00, 0, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 12.472, Wheel, 20.0, 0.00, 0, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 18.469, Wheel, 20.0, 0.00, 0, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 58.306, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 58.372, Wheel, -582.1, 0.98, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 58.906, Wheel, -550.1, 0.93, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 59.023, Wheel, -539.1, 0.91, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 64.886, Wheel, -509.0, 0.86, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 64.936, Wheel, -503.5, 0.85, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 64.987, Wheel, -494.2, 0.84, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 65.619, Wheel, -449.8, 0.77, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 65.654, Wheel, -445.8, 0.76, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 66.020, Wheel, -412.6, 0.71, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 66.070, Wheel, -406.2, 0.69, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 66.103, Wheel, -399.1, 0.68, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 67.486, Wheel, -349.0, 0.60, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 67.536, Wheel, -354.4, 0.61, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 67.619, Wheel, -368.5, 0.63, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 68.169, Wheel, -407.7, 0.70, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 68.252, Wheel, -416.4, 0.71, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 68.735, Wheel, -447.4, 0.76, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 68.802, Wheel, -454.8, 0.77, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 68.868, Wheel, -466.6, 0.79, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 69.352, Wheel, -507.0, 0.86, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 69.485, Wheel, -519.5, 0.88, 2-3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 70.485, Wheel, -549.0, 0.93, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 70.568, Wheel, -557.1, 0.94, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 71.402, Wheel, -588.8, 0.99, 3-4, 0
nszw26001_n1CbXqkmke,2026-01-27_23-01-05,2026-01-27_23-09-30,ItoI_noname, 71.468, Wheel, -588.8, 0.99, 3-4, 0
