ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 10.274, Wheel, 20.0, 0.00, 0, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 10.304, Wheel, 20.0, 0.00, 0, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 10.337, Wheel, 20.0, 0.00, 0, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 38.395, Wheel, -163.0, 1.00, 2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 38.427, Wheel, -159.2, 0.97, 2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 38.460, Wheel, -152.3, 0.94, 1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 38.878, Wheel, -106.5, 0.69, 1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 38.978, Wheel, -95.5, 0.63, 1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 47.991, Wheel, -63.0, 0.45, 0-1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 48.024, Wheel, -66.8, 0.47, 0-1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 48.074, Wheel, -76.6, 0.52, 0-1-2, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 59.105, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 59.154, Wheel, -583.5, 0.99, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 59.220, Wheel, -571.6, 0.97, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 63.752, Wheel, -529.0, 0.90, 2-3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 63.835, Wheel, -537.1, 0.91, 2-3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 64.585, Wheel, -568.7, 0.96, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 64.619, Wheel, -564.9, 0.96, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 64.669, Wheel, -555.2, 0.94, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 64.718, Wheel, -542.6, 0.92, 3-4, 0
nszw26001_nzuCSfhSmL,2026-01-27_23-01-10,2026-01-27_23-07-06,ItoE_noname, 65.052, Wheel, -495.5, 0.84, 2-3-4, 0
