ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.328, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.343, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.360, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.376, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.394, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.443, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 24.509, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.008, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.058, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.091, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.108, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.340, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.373, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.390, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.407, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 25.440, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 31.407, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 31.440, Wheel, 20.0, 0.00, 0, 0
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 93.856, Wheel, 20.0, 0.00, None, 1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 93.906, Wheel, 20.0, 0.00, None, 1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 95.003, Wheel, 20.0, 0.00, 0, 1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 95.070, Wheel, 20.0, 0.00, 0, 1
nszw26001_oOuSUC4LNJ,2026-01-27_20-02-35,2026-01-27_20-08-27,ItoI_noname, 95.103, Wheel, 20.0, 0.00, 0, 1
