ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 28.732, Drag, -115.0, 0.73, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 28.948, Drag, -82.8, 0.56, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 29.149, Drag, -61.0, 0.44, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 29.365, Drag, -50.5, 0.38, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 29.565, Drag, -46.6, 0.36, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 29.765, Drag, -31.4, 0.28, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 29.965, Drag, -18.7, 0.21, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 30.382, Drag, -16.6, 0.20, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 31.315, Drag, -5.7, 0.14, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 31.523, DragEnd, -5.7, 0.14, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 32.732, Drag, -58.8, 0.43, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 32.932, Drag, -52.3, 0.39, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 33.132, Drag, -42.3, 0.34, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 33.332, Drag, -27.0, 0.25, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 33.549, Drag, -9.1, 0.15, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 33.749, Drag, 0.3, 0.10, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 33.949, Drag, 9.5, 0.05, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 39.999, Drag, 9.1, 0.05, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 40.232, Drag, 5.1, 0.08, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 40.449, Drag, -1.3, 0.11, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 40.666, Drag, -8.7, 0.15, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 40.966, Drag, -14.4, 0.18, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 41.166, Drag, -24.0, 0.24, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 41.382, Drag, -31.4, 0.28, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 41.582, Drag, -39.6, 0.32, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 41.782, Drag, -51.4, 0.39, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 41.983, Drag, -65.8, 0.46, 0-1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 42.183, Drag, -86.3, 0.58, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 42.399, Drag, -100.2, 0.65, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 42.599, Drag, -108.1, 0.70, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 42.799, Drag, -116.3, 0.74, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 42.999, Drag, -132.0, 0.83, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 43.366, Drag, -143.3, 0.89, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 44.149, Drag, -145.1, 0.90, 1-2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 44.349, Drag, -163.0, 1.00, 2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 44.583, Drag, -163.0, 1.00, 2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 44.855, DragEnd, -163.0, 1.00, 2, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 75.468, Drag, -987.0, 0.93, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 75.668, Drag, -933.1, 0.88, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 75.868, Drag, -863.7, 0.81, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 76.069, Drag, -830.3, 0.78, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 79.785, Drag, -822.6, 0.78, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 80.001, Drag, -856.0, 0.81, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 80.201, Drag, -904.8, 0.85, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 80.485, Drag, -933.1, 0.88, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 81.235, Drag, -930.5, 0.88, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 81.435, Drag, -825.2, 0.78, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 81.651, Drag, -750.7, 0.71, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 81.868, Drag, -683.9, 0.65, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 82.068, Drag, -609.4, 0.58, 3-4-5, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 82.386, Drag, -583.7, 0.55, 3-4-5, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 82.586, Drag, -789.2, 0.75, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 82.885, Drag, -866.3, 0.82, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 83.468, Drag, -868.8, 0.82, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 83.685, Drag, -1007.6, 0.95, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 84.603, Drag, -1007.6, 0.95, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 84.818, Drag, -843.2, 0.80, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 85.019, Drag, -753.2, 0.71, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 85.221, Drag, -678.7, 0.64, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 85.452, Drag, -629.9, 0.60, 4-5, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 88.218, Drag, -624.8, 0.59, 4-5, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 88.419, Drag, -753.2, 0.71, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 88.619, Drag, -832.9, 0.79, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 89.102, Drag, -845.7, 0.80, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 91.519, Drag, -884.3, 0.83, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 91.819, Drag, -884.3, 0.83, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 92.019, Drag, -956.2, 0.90, 4-5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 92.220, Drag, -1041.0, 0.98, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 92.452, Drag, -1059.0, 1.00, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 92.652, Drag, -1059.0, 1.00, 5-6, 0
nszw26001_oWtJBmkFWo,2026-01-27_20-02-39,2026-01-27_20-09-39,ItoI_noname, 92.833, DragEnd, -1059.0, 1.00, 5-6, 0
