ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 36.654, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 56.734, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 56.796, Wheel, -1545.5, 0.99, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 56.846, Wheel, -1536.2, 0.99, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.064, Wheel, -1502.4, 0.96, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.432, Wheel, -1474.1, 0.95, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.449, Wheel, -1471.7, 0.94, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.482, Wheel, -1464.0, 0.94, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.499, Wheel, -1458.7, 0.94, 7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.517, Wheel, -1451.9, 0.93, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.549, Wheel, -1443.8, 0.93, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.901, Wheel, -1361.1, 0.87, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 57.967, Wheel, -1350.7, 0.87, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 58.016, Wheel, -1340.0, 0.86, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 58.050, Wheel, -1330.6, 0.85, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 58.118, Wheel, -1310.1, 0.84, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.071, Wheel, -1251.1, 0.80, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.104, Wheel, -1247.3, 0.80, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.121, Wheel, -1243.6, 0.80, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.154, Wheel, -1233.6, 0.79, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.171, Wheel, -1227.4, 0.79, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.505, Wheel, -1160.2, 0.75, 6-7-8, 0
nszw26001_pdZHBtzAdm,2026-01-27_23-20-45,2026-01-27_23-34-02,ItoE_noname, 59.522, Wheel, -1157.3, 0.74, 6-7-8, 0
