ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 217.605, DragEnd, -1015.0, 1.00, 5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 220.459, Drag, -746.3, 0.74, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 220.692, Drag, -642.8, 0.64, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 221.227, Drag, -645.3, 0.64, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 221.427, Drag, -704.5, 0.70, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 222.029, Drag, -709.4, 0.70, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 222.229, Drag, -837.5, 0.82, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 222.647, Drag, -842.5, 0.83, 4-5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 223.332, Drag, -953.3, 0.94, 5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 223.725, DragEnd, -1002.6, 0.98, 5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 224.085, Drag, -1005.1, 0.99, 5-6, 1
nszw26001_pecaCuDs19,2026-01-27_23-08-45,2026-01-27_23-23-05,ItoE_noname, 224.110, DragEnd, -1015.0, 1.00, 5-6, 1
