ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 32.782, Drag, -167.4, 0.91, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 33.025, Drag, -158.6, 0.87, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 33.226, Drag, -126.9, 0.71, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 33.449, Drag, -103.9, 0.60, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 35.074, Drag, -103.9, 0.60, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 35.761, Drag, -105.4, 0.61, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 35.962, Drag, -106.4, 0.61, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 36.205, Drag, -108.3, 0.62, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 36.407, Drag, -114.7, 0.65, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 36.650, Drag, -121.0, 0.68, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 36.858, Drag, -138.1, 0.77, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 37.164, Drag, -152.2, 0.84, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 37.365, Drag, -163.5, 0.89, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 37.573, Drag, -168.4, 0.91, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 37.775, Drag, -171.8, 0.93, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 37.979, DragEnd, -176.7, 0.95, 1-2, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 61.531, Drag, -549.4, 0.90, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 61.732, Drag, -469.7, 0.77, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 61.933, Drag, -457.7, 0.75, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 62.135, Drag, -361.6, 0.60, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 62.954, Drag, -363.1, 0.60, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 63.156, Drag, -483.2, 0.79, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 63.357, Drag, -535.8, 0.88, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 63.656, Drag, -558.4, 0.91, 2-3-4, 0
nszw26001_pwBIurEhTQ,2026-01-27_23-03-15,2026-01-27_23-18-33,ItoI_name, 63.885, Drag, -577.9, 0.94, 3-4, 0
