ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.840, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.861, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.907, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.945, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 5.987, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.020, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.070, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.121, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.171, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.222, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.271, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.322, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.404, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.454, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.503, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.538, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.555, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.587, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.605, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.642, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.662, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.681, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.704, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.715, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.731, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.750, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.763, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.786, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.821, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.869, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.904, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.936, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.971, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 6.989, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.022, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.041, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.075, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.093, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.112, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.160, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 7.188, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.254, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.274, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.292, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.305, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.325, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.355, Wheel, 20.0, 0.00, 0, 0
nszw26001_q8nn3Es0UG,2026-01-27_20-03-12,2026-01-27_20-08-56,ItoI_name, 8.396, Wheel, 20.0, 0.00, 0, 0
