ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.827, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.843, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.859, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.876, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.893, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.910, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.927, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.943, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.960, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.976, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 9.992, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.010, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.025, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.043, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.060, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.076, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.092, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.109, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.126, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.142, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.160, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.176, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.192, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.209, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.226, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.243, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.260, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.276, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.293, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.309, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.326, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.343, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.359, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.376, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.392, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.410, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.426, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.443, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.459, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.476, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.509, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.526, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.542, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.576, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.626, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.676, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 10.776, Wheel, 20.0, 0.00, 0, 0
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 94.028, Wheel, -545.0, 1.00, 3-4, 1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 94.044, Wheel, -543.0, 0.99, 3-4, 1
nszw26001_rcqMk7HQgW,2026-01-27_20-02-37,2026-01-27_20-08-00,ItoE_noname, 94.060, Wheel, -539.2, 0.98, 3-4, 1
