ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 110.476, Wheel, -185.0, 1.00, 2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 110.543, Wheel, -178.1, 0.96, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 111.042, Wheel, -146.4, 0.81, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 111.092, Wheel, -140.6, 0.78, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 114.358, Wheel, -105.0, 0.60, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 114.408, Wheel, -110.4, 0.63, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 114.458, Wheel, -119.7, 0.68, 1-2, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 132.652, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 132.685, Wheel, -607.2, 0.99, 3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 132.751, Wheel, -594.7, 0.97, 3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.152, Wheel, -554.4, 0.91, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.201, Wheel, -548.1, 0.90, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.501, Wheel, -516.5, 0.85, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.551, Wheel, -509.6, 0.83, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.585, Wheel, -502.3, 0.82, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.868, Wheel, -459.5, 0.75, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 133.901, Wheel, -454.1, 0.75, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 134.418, Wheel, -412.6, 0.68, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.404, Wheel, -391.0, 0.65, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.434, Wheel, -394.8, 0.65, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.451, Wheel, -398.4, 0.66, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.484, Wheel, -408.4, 0.67, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.783, Wheel, -461.6, 0.76, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.800, Wheel, -464.5, 0.76, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 136.817, Wheel, -469.1, 0.77, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 137.216, Wheel, -526.0, 0.86, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 137.250, Wheel, -530.8, 0.87, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 137.266, Wheel, -534.8, 0.87, 2-3-4, 0
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.213, Wheel, -633.0, 0.97, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.246, Wheel, -629.2, 0.96, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.263, Wheel, -625.5, 0.96, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.596, Wheel, -579.3, 0.89, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.612, Wheel, -576.7, 0.88, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.645, Wheel, -568.4, 0.87, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.662, Wheel, -562.8, 0.86, 3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.965, Wheel, -503.4, 0.78, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 199.978, Wheel, -500.4, 0.77, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.012, Wheel, -491.4, 0.76, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.029, Wheel, -485.5, 0.75, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.396, Wheel, -420.1, 0.65, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.411, Wheel, -417.4, 0.65, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.462, Wheel, -405.3, 0.63, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.861, Wheel, -357.1, 0.56, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.895, Wheel, -352.5, 0.55, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.911, Wheel, -348.6, 0.54, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 200.961, Wheel, -333.5, 0.52, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.295, Wheel, -280.3, 0.44, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.312, Wheel, -277.6, 0.44, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.345, Wheel, -269.1, 0.43, 2-3-4, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.645, Wheel, -221.4, 0.35, 2-3, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.695, Wheel, -213.7, 0.34, 2-3, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.711, Wheel, -209.6, 0.34, 2-3, 1
nszw26001_tSFMatjjpW,2026-01-27_23-37-13,2026-01-27_23-44-49,ItoI_name, 201.728, Wheel, -203.9, 0.33, 2-3, 1
