ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.585, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.600, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.617, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.634, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.650, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.701, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.235, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.268, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.301, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.335, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.352, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 12.540, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 12.606, Wheel, 20.0, 0.00, 0, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 21.432, Wheel, -185.0, 1.00, 2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 21.465, Wheel, -181.2, 0.98, 2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 21.498, Wheel, -174.3, 0.94, 1-2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 21.565, Wheel, -157.3, 0.86, 1-2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 23.601, Wheel, -105.0, 0.60, 1-2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 23.617, Wheel, -107.0, 0.61, 1-2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 23.650, Wheel, -114.2, 0.65, 1-2, 0
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 41.018, Wheel, -165.0, 0.90, 1-2, 0
