ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 21.330, Drag, -134.2, 0.75, 1-2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 21.563, Drag, -102.0, 0.59, 1-2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 24.078, Drag, -102.0, 0.59, 1-2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 24.294, Drag, -122.5, 0.69, 1-2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 24.494, Drag, -185.0, 1.00, 2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 24.583, DragEnd, -185.0, 1.00, 2, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.266, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.283, Wheel, -1079.0, 0.99, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.300, Wheel, -1075.2, 0.99, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.316, Wheel, -1069.7, 0.98, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.332, Wheel, -1062.9, 0.98, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.349, Wheel, -1054.7, 0.97, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.365, Wheel, -1045.3, 0.96, 5-6, 0
nszw26001_u4f1FGxpi4,2026-01-27_20-02-58,2026-01-27_20-09-54,ItoI_name, 50.382, Wheel, -1034.9, 0.95, 5-6, 0
