ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 46.337, Wheel, -185.0, 1.00, 2, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 47.055, Wheel, -185.0, 1.00, 2, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 54.384, Wheel, -165.0, 0.90, 1-2, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 55.665, Wheel, -145.0, 0.80, 1-2, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 58.683, Wheel, -315.4, 0.99, 2-3, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 67.564, Drag, -499.8, 0.82, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 67.764, Drag, -453.2, 0.75, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 67.964, Drag, -436.7, 0.72, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 68.597, Drag, -360.1, 0.60, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 69.214, Drag, -333.0, 0.55, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 69.448, Drag, -330.0, 0.55, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 69.648, Drag, -214.3, 0.37, 2-3, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 70.848, Drag, -215.8, 0.37, 2-3, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 71.048, Drag, -315.0, 0.53, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 71.315, Drag, -447.2, 0.74, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 71.516, Drag, -499.8, 0.82, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 71.765, Drag, -519.3, 0.85, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 72.066, Drag, -576.4, 0.94, 3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 72.833, Drag, -582.4, 0.95, 3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 73.615, Drag, -549.4, 0.90, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 76.167, Drag, -475.7, 0.78, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 76.567, Drag, -266.9, 0.45, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 77.150, Drag, -268.4, 0.45, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 77.351, Drag, -423.2, 0.70, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 77.783, Drag, -459.2, 0.75, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 78.417, Drag, -471.2, 0.77, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 78.768, Drag, -490.8, 0.80, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 79.018, Drag, -559.9, 0.91, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 79.218, Drag, -577.9, 0.94, 3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 79.568, Drag, -567.4, 0.93, 3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 80.401, Drag, -319.5, 0.53, 2-3-4, 0
nszw26001_u4wUufGHPE,2026-01-27_23-17-15,2026-01-27_23-23-47,ItoI_name, 80.602, Drag, -495.3, 0.81, 2-3-4, 0
