ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 52.137, Wheel, -163.0, 1.00, 2, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 71.372, Drag, -451.2, 0.77, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 71.587, Drag, -416.4, 0.71, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 71.803, Drag, -383.0, 0.66, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 72.003, Drag, -352.6, 0.61, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 73.020, Drag, -338.1, 0.58, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 73.253, Drag, -354.1, 0.61, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 73.453, Drag, -378.7, 0.65, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 73.653, Drag, -400.5, 0.69, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 73.920, Drag, -420.8, 0.72, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 74.137, Drag, -429.5, 0.73, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 78.036, Drag, -428.0, 0.73, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 78.237, Drag, -407.7, 0.70, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 78.453, Drag, -381.6, 0.65, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 78.687, Drag, -368.5, 0.63, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 78.920, Drag, -346.8, 0.60, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 79.137, Drag, -338.1, 0.58, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 80.387, Drag, -336.7, 0.58, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 80.653, Drag, -372.9, 0.64, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 80.870, Drag, -397.6, 0.68, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 81.253, Drag, -426.5, 0.73, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 81.936, Drag, -426.5, 0.73, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 82.187, Drag, -432.4, 0.74, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 82.420, Drag, -449.8, 0.77, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 82.636, Drag, -471.5, 0.80, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 83.153, Drag, -471.5, 0.80, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 83.353, Drag, -419.3, 0.72, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 83.553, Drag, -394.7, 0.68, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 83.753, Drag, -365.7, 0.63, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 85.420, Drag, -349.7, 0.60, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 85.670, Drag, -352.6, 0.61, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 86.886, Drag, -354.1, 0.61, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 87.086, Drag, -329.4, 0.57, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 87.287, Drag, -306.2, 0.53, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 87.870, Drag, -301.9, 0.52, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 88.103, Drag, -304.8, 0.53, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 92.553, Drag, -313.5, 0.54, 2-3-4, 0
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 92.770, Drag, -367.1, 0.63, 2-3-4, 0
