ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 39.431, Wheel, -185.0, 1.00, 2, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 39.457, Wheel, -183.0, 0.99, 2, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 39.491, Wheel, -175.7, 0.95, 1-2, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 70.152, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 80.987, Wheel, -1553.0, 0.98, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.003, Wheel, -1551.0, 0.98, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.022, Wheel, -1547.2, 0.98, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.039, Wheel, -1541.7, 0.98, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.120, Wheel, -1513.6, 0.96, 7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.507, Wheel, -1458.3, 0.92, 6-7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.523, Wheel, -1455.8, 0.92, 6-7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.553, Wheel, -1451.5, 0.92, 6-7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 81.587, Wheel, -1440.4, 0.91, 6-7-8, 0
nszw26001_utEImfbfZR,2026-01-27_20-02-37,2026-01-27_20-08-10,ItoE_name, 82.122, Wheel, -1375.3, 0.87, 6-7-8, 0
