ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 32.882, Drag, -442.7, 0.73, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 33.098, Drag, -417.1, 0.69, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 35.498, Drag, -402.1, 0.66, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 36.297, Drag, -450.2, 0.74, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 36.514, Drag, -387.1, 0.64, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 36.714, Drag, -364.6, 0.60, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 37.430, Drag, -358.5, 0.60, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 37.630, Drag, -468.2, 0.77, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 37.847, Drag, -544.8, 0.89, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 43.213, Drag, -546.3, 0.89, 2-3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 43.813, Drag, -565.9, 0.92, 3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 44.246, Drag, -591.4, 0.96, 3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 44.288, DragEnd, -591.4, 0.96, 3-4, 0
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 71.327, Wheel, 20.0, 0.00, 0, 1
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 71.360, Wheel, 20.0, 0.00, 0, 1
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 71.393, Wheel, 20.0, 0.00, 0, 1
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 89.259, Wheel, -632.3, 0.99, 3-4, 1
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 89.391, Wheel, -621.3, 0.98, 3-4, 1
nszw26001_vedktIOArY,2026-01-27_20-04-21,2026-01-27_20-09-05,ItoI_name, 89.891, Wheel, -594.2, 0.94, 3-4, 1
