ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.154, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.170, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.237, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.719, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.754, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 8.769, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 13.670, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 13.687, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 13.703, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 13.735, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 13.786, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 14.502, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 14.519, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 14.536, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 14.552, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 14.587, Wheel, 20.0, 0.00, 0, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 76.995, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 77.010, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 77.027, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 77.044, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 77.061, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 77.111, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 0.909, Wheel, 20.0, 0.00, None, 0
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 0.943, Wheel, 20.0, 0.00, None, 0
