ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 16.187, Wheel, -163.0, 1.00, 2, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 16.220, Wheel, -159.2, 0.97, 2, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 16.836, Wheel, -123.7, 0.78, 1-2, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 41.168, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 41.384, Wheel, -574.0, 0.97, 3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 41.617, Wheel, -554.7, 0.94, 3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 41.667, Wheel, -547.7, 0.93, 3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 42.417, Wheel, -509.3, 0.86, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 42.450, Wheel, -505.4, 0.86, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 42.467, Wheel, -501.8, 0.85, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 42.500, Wheel, -491.7, 0.84, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 43.000, Wheel, -431.6, 0.74, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 43.034, Wheel, -427.3, 0.73, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 43.050, Wheel, -423.5, 0.72, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 43.067, Wheel, -418.0, 0.71, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 43.117, Wheel, -399.3, 0.68, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 45.083, Wheel, -329.0, 0.57, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 45.099, Wheel, -331.0, 0.57, 2-3-4, 0
nszw26001_wNvLx4zt9g,2026-01-27_23-09-26,2026-01-27_23-14-01,ItoI_noname, 45.116, Wheel, -334.8, 0.58, 2-3-4, 0
