ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 24.657, Drag, -115.0, 0.73, 1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 24.873, Drag, -60.6, 0.44, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 25.090, Drag, -50.1, 0.38, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 25.290, Drag, -10.5, 0.16, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 25.490, Drag, 19.5, 0.00, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 26.291, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 26.508, Drag, 20.0, 0.00, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 26.725, Drag, 16.9, 0.01, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 30.362, Drag, 7.8, 0.06, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 32.480, Drag, -5.7, 0.14, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 32.681, Drag, -46.6, 0.36, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 32.881, Drag, -75.4, 0.52, 0-1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 33.081, Drag, -105.9, 0.68, 1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 33.193, DragEnd, -110.2, 0.71, 1-2, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 51.199, Drag, -388.9, 0.67, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 51.399, Drag, -217.8, 0.39, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 51.599, Drag, -177.2, 0.32, 2-3, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 52.951, Drag, -177.2, 0.32, 2-3, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 55.370, Drag, -185.9, 0.33, 2-3, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 55.570, Drag, -287.4, 0.50, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 55.771, Drag, -407.7, 0.70, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 56.021, Drag, -462.8, 0.79, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 56.921, Drag, -478.8, 0.81, 2-3-4, 0
nszw26001_wV7agCRGn6,2026-01-27_20-02-35,2026-01-27_20-10-57,ItoE_noname, 56.922, DragEnd, -478.8, 0.81, 2-3-4, 0
