ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 59.718, Drag, -37.5, 0.08, 0-1-2, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 59.724, DragEnd, -37.5, 0.08, 0-1-2, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 70.652, Drag, -535.0, 0.85, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 70.655, DragEnd, -535.0, 0.85, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 71.540, Drag, -535.0, 0.85, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 71.551, DragEnd, -535.0, 0.85, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 72.882, Drag, -600.3, 0.95, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 72.885, DragEnd, -600.3, 0.95, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 75.285, Drag, -619.0, 0.97, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 75.288, DragEnd, -619.0, 0.97, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 76.437, Drag, -619.0, 0.97, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 76.443, DragEnd, -619.0, 0.97, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 87.244, Drag, -239.6, 0.39, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 87.248, DragEnd, -239.6, 0.39, 2-3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 92.954, Drag, -561.4, 0.89, 3-4, 0
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 92.957, DragEnd, -561.4, 0.89, 3-4, 0
