ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 18.889, Wheel, -163.0, 1.00, 2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 19.253, Wheel, -147.5, 0.91, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 19.449, Wheel, -133.5, 0.83, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 19.568, Wheel, -121.0, 0.77, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 20.552, Wheel, -83.6, 0.56, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 25.944, Wheel, -63.0, 0.45, 0-1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 26.041, Wheel, -69.8, 0.49, 0-1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 26.648, Wheel, -100.3, 0.65, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 26.688, Wheel, -104.6, 0.68, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 27.245, Wheel, -139.2, 0.87, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 27.273, Wheel, -141.6, 0.88, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 27.315, Wheel, -145.6, 0.90, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 27.344, Wheel, -147.4, 0.91, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 27.428, Wheel, -151.6, 0.93, 1-2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 38.455, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 38.846, Wheel, -572.7, 0.97, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 38.979, Wheel, -562.9, 0.95, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.115, Wheel, -549.0, 0.93, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.573, Wheel, -514.4, 0.87, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.598, Wheel, -511.8, 0.87, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.629, Wheel, -507.5, 0.86, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.654, Wheel, -501.7, 0.85, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 39.707, Wheel, -487.9, 0.83, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 40.175, Wheel, -419.6, 0.72, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 40.201, Wheel, -416.5, 0.71, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 40.228, Wheel, -411.8, 0.70, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 40.262, Wheel, -405.5, 0.69, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 40.314, Wheel, -391.0, 0.67, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 42.418, Wheel, -309.0, 0.54, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 42.458, Wheel, -312.8, 0.54, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 42.482, Wheel, -316.4, 0.55, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 42.520, Wheel, -321.6, 0.56, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 43.522, Wheel, -388.0, 0.66, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 43.572, Wheel, -391.9, 0.67, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 43.613, Wheel, -399.0, 0.68, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.176, Wheel, -449.0, 0.77, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.203, Wheel, -447.0, 0.76, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.238, Wheel, -439.7, 0.75, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.272, Wheel, -434.7, 0.74, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.707, Wheel, -379.9, 0.65, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.739, Wheel, -374.0, 0.64, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.782, Wheel, -369.5, 0.63, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.800, Wheel, -363.5, 0.62, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 45.841, Wheel, -349.3, 0.60, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 47.749, Wheel, -269.0, 0.47, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 47.847, Wheel, -275.8, 0.48, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 47.922, Wheel, -284.8, 0.50, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.047, Wheel, -302.9, 0.53, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.150, Wheel, -318.7, 0.55, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.239, Wheel, -332.3, 0.57, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.289, Wheel, -343.1, 0.59, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.420, Wheel, -360.9, 0.62, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.493, Wheel, -379.4, 0.65, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.586, Wheel, -403.3, 0.69, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 48.637, Wheel, -415.8, 0.71, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 50.459, Wheel, -489.0, 0.83, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 50.490, Wheel, -491.0, 0.83, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 50.532, Wheel, -498.2, 0.85, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 50.557, Wheel, -503.2, 0.85, 2-3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.086, Wheel, -561.8, 0.95, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.109, Wheel, -564.5, 0.95, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.136, Wheel, -566.9, 0.96, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.160, Wheel, -569.1, 0.96, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.207, Wheel, -572.9, 0.97, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 51.266, Wheel, -575.9, 0.97, 3-4, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 76.862, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 76.908, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 127.543, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 127.586, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 127.671, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 12.265, Wheel, -163.0, 1.00, 2, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 23.367, Wheel, -743.7, 0.99, 4-5, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 25.442, Wheel, -1058.5, 0.99, 5-6, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 7.001, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 7.028, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 7.073, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 7.128, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 31.988, Wheel, 20.0, 0.00, 0, 1
nszw26001_xoid8wPAvW,2026-01-27_20-02-34,2026-01-27_20-11-00,ItoI_noname, 32.489, Wheel, 20.0, 0.00, 0, 1
