ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 49.701, Drag, -446.9, 0.76, 2-3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 49.917, Drag, -381.6, 0.65, 2-3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 50.134, Drag, -374.4, 0.64, 2-3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 51.767, Drag, -338.1, 0.58, 2-3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 51.967, Drag, -486.0, 0.83, 2-3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 52.167, Drag, -541.1, 0.92, 3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 52.401, Drag, -552.7, 0.94, 3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 52.567, DragEnd, -554.1, 0.94, 3-4, 0
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 123.767, Drag, -822.7, 0.81, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 123.967, Drag, -672.4, 0.66, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 124.167, Drag, -667.5, 0.66, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 125.384, Drag, -660.1, 0.65, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 125.600, Drag, -773.5, 0.76, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 125.900, Drag, -835.1, 0.82, 4-5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 126.117, Drag, -970.6, 0.95, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 126.634, Drag, -980.5, 0.96, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 126.900, Drag, -1015.0, 1.00, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 127.117, Drag, -1015.0, 1.00, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 127.317, Drag, -1015.0, 1.00, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 127.550, Drag, -1015.0, 1.00, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 127.591, DragEnd, -1015.0, 1.00, 5-6, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 142.434, Drag, -1233.4, 0.84, 6-7-8, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 143.800, Drag, -1095.7, 0.75, 6-7-8, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 144.017, Drag, -1378.2, 0.94, 6-7-8, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 144.217, Drag, -1410.0, 0.96, 7-8, 1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 144.231, DragEnd, -1424.1, 0.97, 7-8, 1
