ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 35.529, Wheel, 20.0, 0.00, 0, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 35.829, Wheel, 20.0, 0.00, 0, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 39.595, Wheel, 20.0, 0.00, 0, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 39.629, Wheel, 20.0, 0.00, 0, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 39.712, Wheel, 20.0, 0.00, 0, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 51.429, Wheel, -163.0, 1.00, 2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 51.512, Wheel, -154.8, 0.95, 1-2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 52.162, Wheel, -123.5, 0.78, 1-2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 53.545, Wheel, -103.0, 0.67, 1-2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 60.995, Wheel, -83.0, 0.56, 1-2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 61.745, Wheel, -63.1, 0.45, 0-1-2, 0
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 62.312, Wheel, -43.5, 0.34, 0-1-2, 0
