ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 5.244, Start Typing Pressed, Scenario:0, Step:1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 3.158, Send Message Pressed, Scenario:0, Step:1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 3.360, Start Typing Pressed, Scenario:0, Step:3
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 4.860, Send Message Pressed, Scenario:0, Step:3
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 4.948, Start Typing Pressed, Scenario:0, Step:5
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 4.824, Send Message Pressed, Scenario:0, Step:5
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 6.365, Start Typing Pressed, Scenario:0, Step:7
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 2.871, Send Message Pressed, Scenario:0, Step:7
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 6.067, Next Pressed, Scenario:0, Step:9
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 7.219, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 7.732, Start Typing Pressed, Scenario:1, Step:1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 3.050, Send Message Pressed, Scenario:1, Step:1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 8.783, Start Typing Pressed, Scenario:1, Step:3
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 6.844, Send Message Pressed, Scenario:1, Step:3
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 14.823, Start Typing Pressed, Scenario:1, Step:5
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 5.364, Send Message Pressed, Scenario:1, Step:5
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 13.321, Start Typing Pressed, Scenario:1, Step:7
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 2.705, Send Message Pressed, Scenario:1, Step:7
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 4.841, Next Pressed, Scenario:1, Step:9
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 61.525, End/Reset Pressed, Scenario:1, Step:9
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,System, Reset Performed, -, -
