ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 9.148, Start Typing Pressed, Scenario:0, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 7.704, Send Message Pressed, Scenario:0, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 11.149, Start Typing Pressed, Scenario:0, Step:3
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 12.267, Send Message Pressed, Scenario:0, Step:3
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 12.914, Start Typing Pressed, Scenario:0, Step:5
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 10.173, Send Message Pressed, Scenario:0, Step:5
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 20.863, Start Typing Pressed, Scenario:0, Step:7
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 10.677, Send Message Pressed, Scenario:0, Step:7
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 13.872, Next Pressed, Scenario:0, Step:9
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 11.245, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 9.954, Start Typing Pressed, Scenario:1, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 9.226, Send Message Pressed, Scenario:1, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 11.737, Start Typing Pressed, Scenario:1, Step:3
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 6.585, Send Message Pressed, Scenario:1, Step:3
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 8.558, Start Typing Pressed, Scenario:1, Step:5
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 4.441, Send Message Pressed, Scenario:1, Step:5
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 8.725, Start Typing Pressed, Scenario:1, Step:7
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 6.539, Send Message Pressed, Scenario:1, Step:7
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 11.911, Next Pressed, Scenario:1, Step:9
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 0.146, End/Reset Pressed, Scenario:1, Step:9
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,System, Reset Performed, -, -
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 8.526, Start Typing Pressed, Scenario:0, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 3.470, Send Message Pressed, Scenario:0, Step:1
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 11.631, Start Typing Pressed, Scenario:0, Step:3
nszw26001_20hbyFXOff,2026-01-27_20-37-11,2026-01-27_20-44-05,ItoI_noname, 6.532, Send Message Pressed, Scenario:0, Step:3
