ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 43.546, Start Typing Pressed, Scenario:0, Step:1
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 17.133, Send Message Pressed, Scenario:0, Step:1
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 16.193, Start Typing Pressed, Scenario:0, Step:3
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 20.793, Send Message Pressed, Scenario:0, Step:3
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 17.423, Start Typing Pressed, Scenario:0, Step:5
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 13.095, Send Message Pressed, Scenario:0, Step:5
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 11.601, Start Typing Pressed, Scenario:0, Step:7
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 7.635, Send Message Pressed, Scenario:0, Step:7
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 12.037, Next Pressed, Scenario:0, Step:9
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 12.046, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 13.002, Start Typing Pressed, Scenario:1, Step:1
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 11.656, Send Message Pressed, Scenario:1, Step:1
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 15.360, Start Typing Pressed, Scenario:1, Step:3
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 23.253, Send Message Pressed, Scenario:1, Step:3
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 11.933, Start Typing Pressed, Scenario:1, Step:5
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 11.638, Send Message Pressed, Scenario:1, Step:5
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 17.347, Start Typing Pressed, Scenario:1, Step:7
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 6.766, Send Message Pressed, Scenario:1, Step:7
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 8.535, Next Pressed, Scenario:1, Step:9
