ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 5.363, Start Typing Pressed, Scenario:0, Step:1
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.695, Send Message Pressed, Scenario:0, Step:1
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.622, Start Typing Pressed, Scenario:0, Step:3
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.605, Send Message Pressed, Scenario:0, Step:3
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.634, Start Typing Pressed, Scenario:0, Step:5
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.301, Send Message Pressed, Scenario:0, Step:5
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.307, Start Typing Pressed, Scenario:0, Step:7
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.352, Send Message Pressed, Scenario:0, Step:7
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.871, Next Pressed, Scenario:0, Step:9
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.524, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.928, Start Typing Pressed, Scenario:1, Step:1
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.189, Send Message Pressed, Scenario:1, Step:1
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.669, Start Typing Pressed, Scenario:1, Step:3
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.095, Send Message Pressed, Scenario:1, Step:3
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.832, Start Typing Pressed, Scenario:1, Step:5
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.236, Send Message Pressed, Scenario:1, Step:5
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.439, Start Typing Pressed, Scenario:1, Step:7
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.124, Send Message Pressed, Scenario:1, Step:7
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 4.017, Next Pressed, Scenario:1, Step:9
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 3.549, End/Reset Pressed, Scenario:1, Step:9
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,System, Reset Performed, -, -
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 5.533, Start Typing Pressed, Scenario:0, Step:1
nszw26001_5j1t1Os84n,2026-01-27_23-09-21,2026-01-27_23-14-57,ItoE_name, 2.368, Send Message Pressed, Scenario:0, Step:1
