ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 10.746, Start Typing Pressed, Scenario:0, Step:1
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 7.619, Send Message Pressed, Scenario:0, Step:1
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 6.545, Start Typing Pressed, Scenario:0, Step:3
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 8.695, Send Message Pressed, Scenario:0, Step:3
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 7.072, Start Typing Pressed, Scenario:0, Step:5
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 6.703, Send Message Pressed, Scenario:0, Step:5
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 9.486, Start Typing Pressed, Scenario:0, Step:7
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 4.493, Send Message Pressed, Scenario:0, Step:7
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 5.952, Next Pressed, Scenario:0, Step:9
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 3.696, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 5.617, Start Typing Pressed, Scenario:1, Step:1
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 2.912, Send Message Pressed, Scenario:1, Step:1
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 4.625, Start Typing Pressed, Scenario:1, Step:3
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 2.805, Send Message Pressed, Scenario:1, Step:3
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 3.272, Start Typing Pressed, Scenario:1, Step:5
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 2.496, Send Message Pressed, Scenario:1, Step:5
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 2.714, Start Typing Pressed, Scenario:1, Step:7
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 2.404, Send Message Pressed, Scenario:1, Step:7
nszw26001_5owDxNLG6Y,2026-01-27_23-16-29,2026-01-27_23-21-26,ItoE_noname, 6.248, Next Pressed, Scenario:1, Step:9
